Before,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.715578539,0.164835165,0.062055591,0.028442146,0.012928248,0.005171299,0.003232062,0.001939237,0.001292825,0.001292825,0.001939237,0.000646412,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0
1,0.854557207,0.105365223,0.023917259,0.010989011,0.00258565,0.000646412,0.000646412,0,0.000646412,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.899806076,0.076923077,0.015513898,0.004524887,0,0.001292825,0,0.001292825,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.923723335,0.055591467,0.012928248,0.005171299,0.001292825,0.000646412,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.930833872,0.054945055,0.006464124,0.005817712,0.000646412,0.000646412,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.942469295,0.044602456,0.007756949,0.001939237,0.001292825,0,0.000646412,0.000646412,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.950872657,0.038138332,0.008403361,0.001939237,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.955397544,0.035552683,0.007756949,0.000646412,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.972204266,0.019392372,0.004524887,0.001939237,0.000646412,0.000646412,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.974143504,0.020038785,0.004524887,0,0,0.000646412,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.959922431,0.029734971,0.007110537,0.001292825,0.001292825,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.97866839,0.01616031,0.003232062,0.001292825,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.976082741,0.019392372,0.00258565,0.000646412,0.000646412,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.972204266,0.022624434,0.003878474,0.000646412,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.976082741,0.020038785,0.001939237,0.000646412,0.000646412,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.976082741,0.017453135,0.00258565,0.001939237,0.000646412,0.000646412,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.979961215,0.015513898,0.003878474,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.985778927,0.009049774,0.00258565,0.001939237,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.98383969,0.012928248,0.001292825,0.000646412,0,0,0.000646412,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.985132515,0.010342599,0.001939237,0.000646412,0.001292825,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.983193277,0.014867485,0.001939237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.985132515,0.012281836,0.001292825,0.000646412,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.990303814,0.006464124,0.000646412,0.001292825,0.001292825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.991596639,0.006464124,0.001292825,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.991596639,0.007756949,0,0,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.990303814,0.007756949,0.001292825,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
