Before,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.705882,0.20362,0.058824,0.021978,0.007111,0,0.000646,0.000646,0,0.000646,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0
1,0.870071,0.109244,0.017453,0.001939,0.000646,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.923723,0.067227,0.004525,0.004525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.950873,0.04331,0.005171,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.948933,0.04331,0.005818,0.001293,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.960569,0.033613,0.005171,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.963801,0.031028,0.004525,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.970265,0.025856,0.001939,0.001293,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.978668,0.020039,0.001293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.985133,0.012928,0.001939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.975436,0.023917,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.98384,0.014867,0.000646,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.984486,0.014221,0.000646,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.982547,0.014221,0.003232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.985779,0.012282,0.001293,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.980608,0.01616,0.003232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.98384,0.014221,0.001939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.984486,0.010989,0.004525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.989657,0.009696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0
19,0.989657,0.00905,0.000646,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.99095,0.007757,0.000646,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.987718,0.010989,0.000646,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.988365,0.009696,0.001939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.991597,0.006464,0.001293,0,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0
24,0.994829,0.004525,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.990304,0.00905,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.995475,0.003232,0.000646,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.995475,0.003878,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.991597,0.007111,0.000646,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0
29,0.994182,0.005171,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.992889,0.004525,0.001293,0.000646,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0
31,0.992243,0.006464,0,0,0.000646,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0
32,0.991597,0.007111,0.000646,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0
33,0.992243,0.006464,0.000646,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.998061,0.001293,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.996122,0.003232,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.993536,0.005818,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.994182,0.005171,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.994182,0.003878,0.000646,0,0,0.000646,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0
39,0.991597,0.007111,0.000646,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0
40,0.996768,0.002586,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.996768,0.001939,0.000646,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.996768,0.002586,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.996768,0.002586,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.994182,0.005171,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.995475,0.003232,0.000646,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.994829,0.004525,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.996768,0.001939,0.000646,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.996122,0.003232,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.998707,0.001293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.998061,0.000646,0.000646,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.996768,0.002586,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.996768,0.001939,0.000646,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.995475,0.003232,0,0.000646,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.996768,0.002586,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.998061,0.001293,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.998061,0.000646,0.000646,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.997414,0.001939,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.998707,0.001293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.997414,0.001939,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.998061,0.000646,0.000646,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
