Before,0,1,2,3,4,5
0,0.7125,0.2625,0.025,0,0,0
1,0.65625,0.3020833333,0.03125,0.01041666667,0,0
2,0.618556701,0.3608247423,0.0206185567,0,0,0
3,0.756302521,0.1848739496,0.05882352941,0,0,0
4,0.6962025316,0.2151898734,0.08860759494,0,0,0
5,0.7428571429,0.2142857143,0.03571428571,0.007142857143,0,0
6,0.7172413793,0.2344827586,0.04827586207,0,0,0
7,0.7567567568,0.2,0.03783783784,0,0.005405405405,0
8,0.712195122,0.2146341463,0.06829268293,0.00487804878,0,0
9,0.7178217822,0.2227722772,0.05445544554,0.00495049505,0,0
10,0.7429718876,0.1807228916,0.06827309237,0.008032128514,0,0
11,0.7364341085,0.2093023256,0.0503875969,0.003875968992,0,0
12,0.6682242991,0.2242990654,0.09345794393,0.01401869159,0,0
13,0.7058823529,0.2176470588,0.07647058824,0,0,0
14,0.7466666667,0.1933333333,0.06,0,0,0
15,0.6900584795,0.2280701754,0.07602339181,0,0,0.005847953216
16,0.6886227545,0.2275449102,0.08383233533,0,0,0
17,0.7570621469,0.1920903955,0.05084745763,0,0,0
18,0.6802325581,0.238372093,0.07558139535,0.005813953488,0,0
19,0.7294117647,0.2352941176,0.03529411765,0,0,0
20,0.7777777778,0.1777777778,0.04444444444,0,0,0
21,0.7590361446,0.186746988,0.05421686747,0,0,0
22,0.7719298246,0.1637426901,0.06432748538,0,0,0
23,0.8103448276,0.1494252874,0.03448275862,0,0.005747126437,0
24,0.73125,0.21875,0.0375,0.0125,0,0
25,0.7528089888,0.2078651685,0.0393258427,0,0,0
26,0.6962962963,0.2222222222,0.07407407407,0.007407407407,0,0
27,0.7586206897,0.2,0.04137931034,0,0,0
28,0.7022900763,0.213740458,0.08396946565,0,0,0
29,0.7938931298,0.1832061069,0.01526717557,0.007633587786,0,0
30,0.7297297297,0.2364864865,0.03378378378,0,0,0
31,0.7518796992,0.1804511278,0.06766917293,0,0,0
32,0.6887417219,0.2715231788,0.03311258278,0.006622516556,0,0
33,0.7443609023,0.2030075188,0.05263157895,0,0,0
34,0.6592592593,0.2814814815,0.05185185185,0.007407407407,0,0
35,0.7272727273,0.2181818182,0.04545454545,0.009090909091,0,0
36,0.7016129032,0.2661290323,0.03225806452,0,0,0
37,0.8032786885,0.1803278689,0.01639344262,0,0,0
38,0.7537313433,0.2014925373,0.0447761194,0,0,0
39,0.75,0.1935483871,0.0564516129,0,0,0
40,0.7019230769,0.2788461538,0.01923076923,0,0,0
41,0.6913580247,0.2469135802,0.04938271605,0.01234567901,0,0
42,0.7204301075,0.1935483871,0.08602150538,0,0,0
43,0.7272727273,0.1931818182,0.06818181818,0.01136363636,0,0
44,0.7684210526,0.2,0.02105263158,0.01052631579,0,0
45,0.7972972973,0.1756756757,0.01351351351,0.01351351351,0,0
46,0.6744186047,0.2441860465,0.05813953488,0.02325581395,0,0
47,0.7972972973,0.1351351351,0.05405405405,0.01351351351,0,0
48,0.7826086957,0.1884057971,0.01449275362,0,0.01449275362,0
49,0.652173913,0.2826086957,0.0652173913,0,0,0
50,0.75,0.2,0.05,0,0,0
51,0.7111111111,0.2222222222,0.04444444444,0.02222222222,0,0
52,0.612244898,0.2857142857,0.08163265306,0.02040816327,0,0
53,0.7254901961,0.1568627451,0.09803921569,0.01960784314,0,0
54,0.6956521739,0.2608695652,0.04347826087,0,0,0
55,0.7,0.25,0,0,0.05,0
56,0.6785714286,0.25,0.07142857143,0,0,0
57,0.7333333333,0.1666666667,0.1,0,0,0
58,0.724137931,0.1724137931,0.06896551724,0.03448275862,0,0
59,0.7142857143,0.2857142857,0,0,0,0
60,0.6666666667,0.2666666667,0.06666666667,0,0,0
