Setting,NS_gap_avg,NS_gap_std,AD_gap_avg,AD_gap_std,AS_gap_avg,AS_gap_std,NS_gap_avg(%),NS_gap_std(%),AD_gap_avg(%),AD_gap_std(%),AS_gap_avg(%),AS_gap_std(%)
normal,0.00045768383620596045,0.01886621501571408,0.0,0.0,0.0021414246043833626,0.017921835274611664,0.05%,1.89%,0.00%,0.00%,0.21%,1.79%
m5,0.00024692197442150696,0.0054279031045903,0.0,0.0,0.0002650832616086484,0.004372372012712281,0.02%,0.54%,0.00%,0.00%,0.03%,0.44%
m15,0.008040904437858692,0.04083239817399351,0.0,0.0,0.00976783165794283,0.043370816386281937,0.80%,4.08%,0.00%,0.00%,0.98%,4.34%
m20,-0.0031701445752180552,0.06615713317710917,0.0,0.0,-0.002953381440703194,0.06849848553799247,-0.32%,6.62%,0.00%,0.00%,-0.30%,6.85%
b50,0.005122330425245257,0.019497454308631267,0.0019062950009168952,0.020292910321410697,0.007753688636967893,0.024811940415783516,0.51%,1.95%,0.19%,2.03%,0.78%,2.48%
b90,0.0032334407271390328,0.03309419941231215,0.0002865595348792777,0.008677396839428702,0.0030837028592987084,0.03293960720188892,0.32%,3.31%,0.03%,0.87%,0.31%,3.29%
r1,0.00254723060086619,0.0189496851111557,0.0,0.0,0.0035730786754440517,0.01862198361443606,0.25%,1.89%,0.00%,0.00%,0.36%,1.86%
r3,0.0021642667132855974,0.022027252181053995,0.002192019671405112,0.021019181120411252,0.0035895640398592803,0.024464634474496608,0.22%,2.20%,0.22%,2.10%,0.36%,2.45%
d10,0.0006550041196521721,0.019740606249505705,3.696549873930755e-05,0.0019969502696635163,0.0008206457113997127,0.01941092925887725,0.07%,1.97%,0.00%,0.20%,0.08%,1.94%
d40,-0.00440700052421949,0.03537658771133323,0.0003985150102756805,0.01695934710120715,-0.00043412765162572536,0.030107858634120938,-0.44%,3.54%,0.04%,1.70%,-0.04%,3.01%
