Setting,T_ND,T_NS,T_AD_alpha20,T_AD_alpha18,T_AD_alpha16,T_AD_alpha14,T_AD_alpha12,T_AD_alpha10,T_AD_alpha8,T_AD_alpha6,T_AD_alpha4,T_AD_alpha2,T_AD_alpha0,T_AS_alpha20,T_AS_alpha18,T_AS_alpha16,T_AS_alpha14,T_AS_alpha12,T_AS_alpha10,T_AS_alpha8,T_AS_alpha6,T_AS_alpha4,T_AS_alpha2,T_AS_alpha0
normal,2.0,428.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,432.0,433.0,432.0,429.0,433.0,430.0,433.0,429.0,429.0,430.0,429.0
m5,1.0,536.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,526.0,541.0,527.0,542.0,537.0,526.0,518.0,545.0,526.0,526.0,530.0
m15,2.0,334.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,337.0,334.0,336.0,337.0,335.0,335.0,337.0,335.0,335.0,335.0,335.0
m20,2.0,355.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,353.0,355.0,353.0,354.0,353.0,353.0,354.0,352.0,353.0,352.0,355.0
b50,2.0,452.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,556.0,542.0,522.0,506.0,492.0,475.0,470.0,467.0,467.0,456.0,449.0
b90,1.0,362.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,362.0,361.0,360.0,359.0,361.0,360.0,361.0,361.0,361.0,362.0,361.0
r1,2.0,472.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,473.0,472.0,469.0,473.0,468.0,469.0,468.0,471.0,472.0,481.0,473.0
r3,2.0,346.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,350.0,343.0,346.0,344.0,347.0,344.0,344.0,346.0,344.0,337.0,344.0
d10,2.0,411.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,410.0,412.0,411.0,411.0,412.0,411.0,411.0,414.0,413.0,413.0,414.0
d40,2.0,399.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,411.0,416.0,406.0,413.0,403.0,415.0,407.0,411.0,398.0,407.0,407.0
