Setting,NS_gap_avg,NS_gap_std,AD_gap_avg,AD_gap_std,AS_gap_avg,AS_gap_std,NS_gap_avg(%),NS_gap_std(%),AD_gap_avg(%),AD_gap_std(%),AS_gap_avg(%),AS_gap_std(%)
normal,0.0029254427090509997,0.01327284245349841,0.0010911811148932356,0.019600834748324098,0.0035414240560847627,0.019364455541418277,0.29%,1.33%,0.11%,1.96%,0.35%,1.94%
m5,-3.2476513589447227e-06,0.00010269975340406525,1.503608750715844e-05,0.00047548283620223284,1.503608750715844e-05,0.00047548283620223284,-0.00%,0.01%,0.00%,0.05%,0.00%,0.05%
m15,0.01470071989737511,0.07349356518609362,0.0,0.0,0.01571836597697325,0.07403831401043763,1.47%,7.35%,0.00%,0.00%,1.57%,7.40%
m20,0.002852812722514792,0.03961179786389392,0.0,0.0,0.004371472185430547,0.04169099008847604,0.29%,3.96%,0.00%,0.00%,0.44%,4.17%
b50,0.006976980377857203,0.016830930230357984,0.0017981921624660188,0.01771240859210665,0.009749564097336304,0.023218049845196306,0.70%,1.68%,0.18%,1.77%,0.97%,2.32%
b90,0.0028192787160764027,0.020114053753142735,0.0002148281603608036,0.007491783052164031,0.0032342454531738025,0.020607686690181107,0.28%,2.01%,0.02%,0.75%,0.32%,2.06%
r1,0.00537194591462161,0.016334465180868663,0.0018402863051324555,0.016995171422645807,0.006842578191630912,0.019745801801264857,0.54%,1.63%,0.18%,1.70%,0.68%,1.97%
r3,0.006582224185958551,0.018226953502553076,0.00014580413265782017,0.0037246425777789837,0.00614563244801101,0.017611924609506065,0.66%,1.82%,0.01%,0.37%,0.61%,1.76%
d10,0.0022059136948574436,0.016533953515023642,0.001971689712157787,0.011455207110129558,0.004038700482717641,0.017566881552708673,0.22%,1.65%,0.20%,1.15%,0.40%,1.76%
d40,-0.0002821171276839578,0.019803867845805078,0.0,0.0,0.00014144487563774822,0.019582590494265834,-0.03%,1.98%,0.00%,0.00%,0.01%,1.96%
total,0.004414995343926922,0.03043436105067621,0.0007077017675175279,0.01092654753066982,0.005379846385450319,0.03183977445687282,0.44%,3.04%,0.07%,1.09%,0.54%,3.18%
