Settings,ND,NS,AD_alpha20,AD_alpha18,AD_alpha16,AD_alpha14,AD_alpha12,AD_alpha10,AD_alpha8,AD_alpha6,AD_alpha4,AD_alpha2,AD_alpha0,AS_alpha20,AS_alpha18,AS_alpha16,AS_alpha14,AS_alpha12,AS_alpha10,AS_alpha8,AS_alpha6,AS_alpha4,AS_alpha2,AS_alpha0
normal,1.0,382.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,391.0,387.0,386.0,385.0,385.0,382.0,382.0,382.0,383.0,382.0,382.0
m5,2.0,405.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,408.0,407.0,407.0,402.0,406.0,406.0,414.0,409.0,420.0,408.0,408.0
m15,1.0,312.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,311.0,308.0,312.0,312.0,312.0,311.0,314.0,309.0,312.0,312.0,312.0
m20,1.0,341.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,337.0,338.0,335.0,337.0,334.0,335.0,336.0,335.0,337.0,334.0,335.0
b50,2.0,465.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,547.0,534.0,520.0,500.0,490.0,481.0,474.0,471.0,475.0,466.0,464.0
b90,2.0,384.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,387.0,388.0,386.0,383.0,385.0,384.0,388.0,386.0,388.0,387.0,384.0
r1,1.0,394.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,402.0,400.0,399.0,396.0,396.0,397.0,393.0,395.0,395.0,397.0,397.0
r3,1.0,408.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,405.0,405.0,402.0,404.0,405.0,401.0,400.0,404.0,402.0,401.0,403.0
d10,2.0,414.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,422.0,421.0,420.0,420.0,415.0,421.0,418.0,420.0,415.0,415.0,417.0
d40,2.0,446.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,453.0,454.0,453.0,450.0,450.0,448.0,450.0,445.0,447.0,447.0,453.0
