Setting,R_ND,R_NS,R_AD_alpha20,R_AD_alpha18,R_AD_alpha16,R_AD_alpha14,R_AD_alpha12,R_AD_alpha10,R_AD_alpha8,R_AD_alpha6,R_AD_alpha4,R_AD_alpha2,R_AD_alpha0,R_AS_alpha20,R_AS_alpha18,R_AS_alpha16,R_AS_alpha14,R_AS_alpha12,R_AS_alpha10,R_AS_alpha8,R_AS_alpha6,R_AS_alpha4,R_AS_alpha2,R_AS_alpha0
normal,507270.881,508724.628,507733.975,507719.981,507664.872,507434.078,507380.133,507343.549,507313.486,507277.165,507265.429,507278.729,507270.881,508978.27,508770.778,508756.709,508653.871,508809.105,508843.628,508738.983,508767.04,508690.028,508744.188,508730.829
m5,688469.364,688467.192,688479.42,688479.42,688479.42,688469.364,688469.364,688469.364,688469.364,688469.364,688469.364,688469.364,688469.364,688479.42,688479.42,688479.42,688479.42,688467.192,688467.192,688467.192,688467.238,688467.238,688467.192,688467.192
m15,370502.473,374683.183,370502.473,370502.473,370502.473,370502.473,370502.473,370502.473,370502.473,370502.473,370502.473,370502.473,370502.473,374599.507,374611.375,375038.998,374935.987,374614.561,374754.367,375032.882,374684.25,374720.92,374717.906,374721.402
m20,310612.369,311425.839,310612.369,310612.369,310612.369,310612.369,310612.369,310612.369,310612.369,310612.369,310612.369,310612.369,310612.369,311445.602,311375.461,311344.922,311208.779,311237.15,311389.305,311297.571,311922.232,311260.427,311250.893,311598.537
b50,460629.302,463764.26,460822.685,461271.705,461361.954,461324.172,461170.39,461148.717,460926.503,460806.588,460711.143,460703.601,460629.302,463911.533,464601.811,464953.27,464704.373,464549.989,464649.013,464473.02,464174.75,464430.794,463977.194,463623.241
b90,573368.922,574875.635,573465.105,573389.145,573349.181,573289.724,573289.724,573289.724,573320.71,573331.086,573363.818,573383.759,573368.922,574577.674,574890.509,574846.31,574600.549,574727.968,574591.269,574961.579,574644.993,575096.12,574971.862,574910.317
r1,515612.047,518297.564,516475.686,516445.516,516271.972,516245.52,516083.426,516050.505,516015.513,516003.182,515794.183,515599.259,515612.047,519040.469,518656.523,518826.192,518546.986,518309.619,518505.55,518163.058,518155.206,518584.618,518222.443,518399.04
r3,534984.179,538402.254,534890.564,534889.089,534994.321,534895.872,535005.261,535014.548,535062.118,535053.666,534983.98,534968.923,534984.179,537987.174,538088.019,538080.568,538058.666,538064.213,538103.13,538172.778,538076.917,538176.664,538175.99,538114.248
d10,495480.793,496508.618,496398.93,495945.53,495909.549,495892.431,495889.306,495784.235,495746.411,495601.411,495563.984,495519.708,495480.793,497372.874,497182.904,497219.092,497113.531,497009.668,497015.291,496837.816,496822.852,496759.692,496665.577,496739.269
d40,503670.446,503457.329,502465.833,502764.679,502908.463,502986.598,503041.791,503138.227,503298.293,503395.463,503511.75,503611.722,503670.446,502926.725,503020.791,503497.821,503451.457,503601.839,503293.784,503570.016,503384.967,503639.627,503318.246,503667.327
