Setting,AD_alpha,AD_avg_rev,AS_alpha,AS_avg_rev
normal,R_AD_alpha20,507733.975,R_AS_alpha20,508978.27
m5,R_AD_alpha20,688479.42,R_AS_alpha20,688479.42
m15,R_AD_alpha20,370502.473,R_AS_alpha16,375038.998
m20,R_AD_alpha20,310612.369,R_AS_alpha6,311922.232
b50,R_AD_alpha16,461361.954,R_AS_alpha16,464953.27
b90,R_AD_alpha20,573465.105,R_AS_alpha4,575096.12
r1,R_AD_alpha20,516475.686,R_AS_alpha20,519040.469
r3,R_AD_alpha8,535062.118,R_AS_alpha4,538176.664
d10,R_AD_alpha20,496398.93,R_AS_alpha20,497372.874
d40,R_AD_alpha0,503670.446,R_AS_alpha0,503667.327
