Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,437159.000000,437159.000000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,40659.000000,0,0,0,0.000000,0.000000,0.000000,23907.000000,9,1,1,358137.000000,295089.000000,63048.000000,39355.000000,3,1,1,291725.000000,253241.000000,74546.000000,40301.000000,5,0,0,0.000000,0.000000,0.000000,13740.000000,3,0,0,0.000000,0.000000,0.000000,19042.000000,10,0,0,0.000000,0.000000,0.000000,49956.000000,0,0,0,0.000000,0.000000,0.000000,27969.000000,7,0,0,0.000000,0.000000,0.000000,23120.000000,2,0,0,0.000000,0.000000,0.000000,21516.000000
2,438535.000000,437847.000000,0.000000,1,6,1,1,415659.000000,364496.000000,51163.000000,44472.000000,8,1,1,356909.000000,320001.000000,60825.000000,51318.000000,7,1,0,236858.000000,253421.000000,0.000000,34484.000000,8,0,0,0.000000,0.000000,0.000000,37310.000000,9,0,0,0.000000,0.000000,0.000000,31861.000000,10,0,0,0.000000,0.000000,0.000000,31485.000000,0,0,0,0.000000,0.000000,0.000000,20762.000000,4,0,0,0.000000,0.000000,0.000000,36856.000000,0,0,0,0.000000,0.000000,0.000000,26630.000000,0,0,0,0.000000,0.000000,0.000000,11369.000000
3,417624.000000,431106.000000,0.000000,1,4,1,1,406028.000000,364496.000000,41532.000000,30037.000000,5,1,1,360836.000000,322648.000000,62153.000000,43199.000000,2,1,1,272474.000000,269342.000000,83011.000000,41224.000000,7,0,0,0.000000,0.000000,0.000000,39961.000000,6,0,0,0.000000,0.000000,0.000000,11250.000000,9,0,0,0.000000,0.000000,0.000000,18245.000000,7,0,0,0.000000,0.000000,0.000000,8610.000000,3,0,0,0.000000,0.000000,0.000000,14031.000000,3,0,0,0.000000,0.000000,0.000000,11198.000000,8,0,0,0.000000,0.000000,0.000000,13173.000000
4,437851.000000,432792.250000,0.000000,1,8,1,1,460633.000000,364496.000000,96137.000000,51929.000000,10,1,1,312393.000000,301267.000000,48610.000000,42181.000000,2,0,0,0.000000,0.000000,0.000000,34097.000000,9,0,0,0.000000,0.000000,0.000000,48040.000000,2,0,0,0.000000,0.000000,0.000000,26709.000000,7,0,0,0.000000,0.000000,0.000000,6687.000000,7,0,0,0.000000,0.000000,0.000000,35054.000000,8,0,0,0.000000,0.000000,0.000000,9506.000000,0,0,0,0.000000,0.000000,0.000000,15828.000000,0,0,0,0.000000,0.000000,0.000000,23073.000000
5,456621.000000,437558.000000,0.000000,1,3,1,1,467486.000000,364496.000000,102990.000000,56946.000000,4,1,1,311229.000000,298405.000000,27598.000000,8452.000000,2,0,0,0.000000,0.000000,0.000000,37504.000000,6,0,0,0.000000,0.000000,0.000000,36193.000000,0,0,0,0.000000,0.000000,0.000000,32037.000000,5,0,0,0.000000,0.000000,0.000000,33175.000000,6,0,0,0.000000,0.000000,0.000000,48331.000000,9,0,0,0.000000,0.000000,0.000000,13975.000000,0,0,0,0.000000,0.000000,0.000000,29935.000000,9,0,0,0.000000,0.000000,0.000000,29485.000000
6,431742.000000,436588.666667,0.000000,1,7,1,1,464992.000000,364496.000000,100496.000000,29676.000000,10,1,0,311982.000000,322648.000000,0.000000,36130.000000,6,0,0,0.000000,0.000000,0.000000,26746.000000,8,1,1,272348.000000,250594.000000,60657.000000,32335.000000,10,0,0,0.000000,0.000000,0.000000,53471.000000,3,0,0,0.000000,0.000000,0.000000,16035.000000,0,0,0,0.000000,0.000000,0.000000,15662.000000,6,0,0,0.000000,0.000000,0.000000,30858.000000,7,0,0,0.000000,0.000000,0.000000,17317.000000,0,0,0,0.000000,0.000000,0.000000,12359.000000
7,436784.000000,436616.571429,0.000000,1,0,0,0,0.000000,0.000000,0.000000,18989.000000,0,0,0,0.000000,0.000000,0.000000,54433.000000,9,1,1,356742.000000,295089.000000,64284.000000,32260.000000,9,1,1,264566.000000,250610.000000,35817.000000,27674.000000,0,0,0,0.000000,0.000000,0.000000,17485.000000,0,0,0,0.000000,0.000000,0.000000,66673.000000,5,0,0,0.000000,0.000000,0.000000,41235.000000,9,0,0,0.000000,0.000000,0.000000,33297.000000,10,0,0,0.000000,0.000000,0.000000,18992.000000,5,0,0,0.000000,0.000000,0.000000,25645.000000
8,453055.000000,438671.375000,0.000000,1,5,1,1,452489.000000,364496.000000,87993.000000,26125.000000,1,1,1,320202.000000,317454.000000,17879.000000,55063.000000,0,0,0,0.000000,0.000000,0.000000,21577.000000,3,1,1,248686.000000,224231.000000,71594.000000,29611.000000,0,0,0,0.000000,0.000000,0.000000,40927.000000,0,0,0,0.000000,0.000000,0.000000,21877.000000,6,0,0,0.000000,0.000000,0.000000,35087.000000,4,0,0,0.000000,0.000000,0.000000,23758.000000,2,0,0,0.000000,0.000000,0.000000,10920.000000,3,0,0,0.000000,0.000000,0.000000,10644.000000
9,449107.000000,439830.888889,0.000000,1,2,1,1,490492.000000,364496.000000,125996.000000,45917.000000,2,1,1,315682.000000,304086.000000,78761.000000,27810.000000,4,0,0,0.000000,0.000000,0.000000,38478.000000,5,0,0,0.000000,0.000000,0.000000,24008.000000,9,0,0,0.000000,0.000000,0.000000,20315.000000,2,0,0,0.000000,0.000000,0.000000,11794.000000,9,0,0,0.000000,0.000000,0.000000,16293.000000,8,0,0,0.000000,0.000000,0.000000,27462.000000,5,0,0,0.000000,0.000000,0.000000,21231.000000,0,0,0,0.000000,0.000000,0.000000,11042.000000
10,421985.000000,438046.300000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,17551.000000,5,1,1,404442.000000,322648.000000,90029.000000,26942.000000,0,0,0,0.000000,0.000000,0.000000,19610.000000,6,0,0,0.000000,0.000000,0.000000,28313.000000,1,1,1,225020.000000,212412.000000,20399.000000,46204.000000,7,1,1,203975.000000,164745.000000,63628.000000,31539.000000,0,0,0,0.000000,0.000000,0.000000,35816.000000,6,0,0,0.000000,0.000000,0.000000,22030.000000,0,0,0,0.000000,0.000000,0.000000,7805.000000,9,0,0,0.000000,0.000000,0.000000,12119.000000
