Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,431286.000000,431286.000000,1.000000,1,0,0,0,0.000000,0.000000,0.000000,40659.000000,0,0,0,0.000000,0.000000,0.000000,23907.000000,9,1,1,340111.401000,288491.213000,60576.000000,39355.000000,3,1,1,282963.192000,245071.484000,73070.000000,40301.000000,5,0,0,0.000000,0.000000,0.000000,13740.000000,3,0,0,0.000000,0.000000,0.000000,24532.000000,10,0,0,0.000000,0.000000,0.000000,48860.000000,0,0,0,0.000000,0.000000,0.000000,25278.000000,7,0,0,0.000000,0.000000,0.000000,21190.000000,2,0,0,0.000000,0.000000,0.000000,19818.000000
2,438180.000000,434733.000000,0.000000,1,6,1,1,398384.637000,360778.441000,51063.000000,44472.000000,8,1,1,343737.541000,309380.241000,66473.000000,51318.000000,7,1,0,218629.309000,233613.959000,0.000000,31088.000000,8,0,0,0.000000,0.000000,0.000000,37310.000000,9,0,0,0.000000,0.000000,0.000000,31861.000000,10,0,0,0.000000,0.000000,0.000000,33311.000000,0,0,0,0.000000,0.000000,0.000000,20762.000000,4,0,0,0.000000,0.000000,0.000000,36856.000000,0,0,0,0.000000,0.000000,0.000000,23999.000000,0,0,0,0.000000,0.000000,0.000000,9667.000000
3,421044.000000,430170.000000,0.000000,1,4,1,1,391334.062000,360778.441000,39736.000000,30037.000000,5,1,1,349454.896000,316213.008000,64189.000000,43199.000000,2,1,1,259635.027000,252650.283000,85426.000000,41224.000000,7,0,0,0.000000,0.000000,0.000000,39961.000000,6,0,0,0.000000,0.000000,0.000000,11250.000000,9,0,0,0.000000,0.000000,0.000000,18245.000000,7,0,0,0.000000,0.000000,0.000000,8610.000000,3,0,0,0.000000,0.000000,0.000000,14031.000000,3,0,0,0.000000,0.000000,0.000000,11198.000000,8,0,0,0.000000,0.000000,0.000000,13938.000000
4,441893.000000,433100.750000,1.000000,1,8,1,1,432510.200000,360778.441000,94029.000000,51929.000000,10,1,1,301278.469000,295873.909000,48610.000000,42181.000000,2,0,0,0.000000,0.000000,0.000000,34097.000000,9,0,0,0.000000,0.000000,0.000000,48040.000000,2,0,0,0.000000,0.000000,0.000000,32006.000000,7,0,0,0.000000,0.000000,0.000000,6687.000000,7,0,0,0.000000,0.000000,0.000000,33276.000000,8,0,0,0.000000,0.000000,0.000000,9506.000000,0,0,0,0.000000,0.000000,0.000000,18459.000000,0,0,0,0.000000,0.000000,0.000000,23073.000000
5,444094.000000,435299.400000,0.000000,1,3,1,1,432561.443000,360778.441000,97774.000000,56946.000000,4,1,1,297449.681000,286900.159000,29848.000000,8452.000000,2,1,1,247076.737000,245369.701000,78761.000000,30563.000000,6,0,0,0.000000,0.000000,0.000000,27490.000000,0,0,0,0.000000,0.000000,0.000000,26408.000000,5,0,0,0.000000,0.000000,0.000000,16002.000000,6,0,0,0.000000,0.000000,0.000000,33890.000000,9,0,0,0.000000,0.000000,0.000000,8015.000000,0,0,0,0.000000,0.000000,0.000000,13879.000000,9,0,0,0.000000,0.000000,0.000000,16066.000000
6,413638.000000,431689.166667,1.000000,1,7,1,1,430535.443000,360778.441000,95748.000000,29676.000000,10,1,1,303741.471000,301959.294000,48610.000000,36130.000000,6,0,0,0.000000,0.000000,0.000000,26746.000000,8,0,0,0.000000,0.000000,0.000000,34163.000000,10,0,0,0.000000,0.000000,0.000000,50726.000000,3,0,0,0.000000,0.000000,0.000000,17563.000000,0,0,0,0.000000,0.000000,0.000000,16389.000000,6,0,0,0.000000,0.000000,0.000000,30858.000000,7,0,0,0.000000,0.000000,0.000000,14670.000000,0,0,0,0.000000,0.000000,0.000000,12359.000000
7,435233.000000,432195.428571,0.000000,1,0,0,0,0.000000,0.000000,0.000000,18989.000000,0,0,0,0.000000,0.000000,0.000000,54433.000000,9,1,1,336620.862000,287206.501000,63048.000000,32260.000000,9,1,1,250028.351000,238420.192000,41319.000000,29500.000000,0,0,0,0.000000,0.000000,0.000000,18564.000000,0,0,0,0.000000,0.000000,0.000000,65105.000000,5,0,0,0.000000,0.000000,0.000000,36712.000000,9,0,0,0.000000,0.000000,0.000000,30666.000000,10,0,0,0.000000,0.000000,0.000000,18992.000000,5,0,0,0.000000,0.000000,0.000000,25645.000000
8,453519.000000,434860.875000,0.000000,1,5,1,1,423125.680000,360778.441000,85957.000000,26125.000000,1,1,1,304978.516000,303339.637000,17879.000000,55063.000000,0,0,0,0.000000,0.000000,0.000000,21577.000000,3,1,1,238556.812000,214261.764000,71594.000000,29611.000000,0,0,0,0.000000,0.000000,0.000000,46155.000000,0,0,0,0.000000,0.000000,0.000000,21877.000000,6,0,0,0.000000,0.000000,0.000000,36134.000000,4,0,0,0.000000,0.000000,0.000000,21913.000000,2,0,0,0.000000,0.000000,0.000000,10920.000000,3,0,0,0.000000,0.000000,0.000000,8714.000000
9,451510.000000,436710.777778,1.000000,1,2,1,1,450418.658000,360778.441000,121456.000000,45917.000000,2,1,1,297877.716000,287769.182000,78761.000000,27810.000000,4,0,0,0.000000,0.000000,0.000000,43725.000000,5,0,0,0.000000,0.000000,0.000000,24008.000000,9,0,0,0.000000,0.000000,0.000000,20315.000000,2,0,0,0.000000,0.000000,0.000000,11794.000000,9,0,0,0.000000,0.000000,0.000000,19038.000000,8,0,0,0.000000,0.000000,0.000000,27462.000000,5,0,0,0.000000,0.000000,0.000000,20182.000000,0,0,0,0.000000,0.000000,0.000000,11042.000000
10,401029.000000,433142.600000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,17551.000000,5,1,1,389668.100000,323515.893000,85957.000000,26942.000000,0,0,0,0.000000,0.000000,0.000000,19610.000000,6,1,1,240782.307000,238977.428000,41275.000000,28313.000000,1,1,1,183492.107000,171810.032000,19139.000000,46204.000000,7,0,0,0.000000,0.000000,0.000000,23402.000000,0,0,0,0.000000,0.000000,0.000000,37251.000000,6,0,0,0.000000,0.000000,0.000000,18536.000000,0,0,0,0.000000,0.000000,0.000000,22125.000000,9,0,0,0.000000,0.000000,0.000000,14724.000000
