Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,328379.000000,328379.000000,0.000000,1,1,1,0,398717.000000,361215.000000,0.000000,48976.000000,2,1,0,550065.000000,319655.000000,0.000000,35263.000000,0,0,0,0.000000,0.000000,0.000000,42054.000000,1,1,0,276623.000000,241481.000000,0.000000,19374.000000,5,1,0,288264.000000,202235.000000,0.000000,28460.000000,0,0,0,0.000000,0.000000,0.000000,56083.000000,0,0,0,0.000000,0.000000,0.000000,26849.000000,3,1,0,244403.000000,104976.000000,0.000000,23928.000000,9,1,0,210544.000000,65730.000000,0.000000,28867.000000,1,1,0,65486.000000,26244.000000,0.000000,18525.000000
2,354966.000000,341672.500000,0.000000,1,2,1,0,607556.000000,361215.000000,0.000000,32773.000000,0,0,0,0.000000,0.000000,0.000000,30127.000000,7,1,0,450307.000000,292374.000000,0.000000,42482.000000,8,1,0,284896.000000,250814.000000,0.000000,30897.000000,4,1,0,295557.000000,210531.000000,0.000000,75308.000000,0,0,0,0.000000,0.000000,0.000000,20533.000000,0,0,0,0.000000,0.000000,0.000000,35021.000000,8,1,0,140643.000000,109124.000000,0.000000,16767.000000,10,1,0,109685.000000,68841.000000,0.000000,34218.000000,5,1,0,110716.000000,27281.000000,0.000000,36840.000000
3,559337.000000,414227.333333,0.000000,1,0,0,0,0.000000,0.000000,0.000000,38923.000000,0,0,0,0.000000,0.000000,0.000000,58647.000000,0,0,0,0.000000,0.000000,0.000000,25039.000000,2,1,0,455747.000000,250814.000000,0.000000,20081.000000,6,1,0,249239.000000,210531.000000,0.000000,61994.000000,10,1,0,220607.000000,177965.000000,0.000000,34950.000000,8,1,0,176501.000000,140653.000000,0.000000,40262.000000,7,1,1,257157.000000,109124.000000,159979.000000,54096.000000,8,1,0,72761.000000,49530.000000,0.000000,48639.000000,3,0,0,0.000000,0.000000,0.000000,16727.000000
4,326069.000000,392187.750000,0.000000,1,10,1,0,403857.000000,361215.000000,0.000000,31587.000000,1,1,0,357157.000000,319655.000000,0.000000,32900.000000,7,1,0,448477.000000,292374.000000,0.000000,13519.000000,0,0,0,0.000000,0.000000,0.000000,34286.000000,2,1,0,455841.000000,210531.000000,0.000000,30461.000000,7,1,0,341132.000000,177965.000000,0.000000,43864.000000,6,1,0,187382.000000,141690.000000,0.000000,34326.000000,2,1,0,330957.000000,109124.000000,0.000000,50375.000000,5,1,0,144026.000000,63324.000000,0.000000,27153.000000,4,1,0,111608.000000,25442.000000,0.000000,27598.000000
5,383757.000000,390501.600000,0.000000,1,3,1,0,521699.000000,361215.000000,0.000000,35527.000000,5,1,0,404918.000000,319655.000000,0.000000,34818.000000,6,1,0,337292.000000,292374.000000,0.000000,39781.000000,0,0,0,0.000000,0.000000,0.000000,24299.000000,7,1,0,371958.000000,210531.000000,0.000000,65958.000000,0,0,0,0.000000,0.000000,0.000000,27332.000000,4,1,0,224270.000000,141690.000000,0.000000,32375.000000,3,1,0,270080.000000,109124.000000,0.000000,49592.000000,5,0,0,0.000000,0.000000,0.000000,28426.000000,3,1,0,183410.000000,25390.000000,0.000000,45649.000000
6,328389.000000,380149.500000,0.000000,1,4,1,0,456801.000000,361215.000000,0.000000,21515.000000,4,1,0,414129.000000,319655.000000,0.000000,35734.000000,6,1,0,339614.000000,292374.000000,0.000000,30082.000000,5,1,0,338463.000000,250814.000000,0.000000,42600.000000,7,1,0,360883.000000,210531.000000,0.000000,25438.000000,5,1,0,272090.000000,177965.000000,0.000000,29429.000000,1,1,0,181802.000000,141690.000000,0.000000,28401.000000,9,1,0,238552.000000,109124.000000,0.000000,44434.000000,0,0,0,0.000000,0.000000,0.000000,38095.000000,0,0,0,0.000000,0.000000,0.000000,32661.000000
7,349828.000000,375817.857143,0.000000,1,7,1,0,524382.000000,361215.000000,0.000000,40904.000000,0,0,0,0.000000,0.000000,0.000000,36205.000000,0,0,0,0.000000,0.000000,0.000000,29407.000000,10,1,0,293456.000000,250814.000000,0.000000,45430.000000,0,0,0,0.000000,0.000000,0.000000,23680.000000,4,1,0,259316.000000,177965.000000,0.000000,33449.000000,2,1,0,383781.000000,141690.000000,0.000000,48716.000000,0,0,0,0.000000,0.000000,0.000000,31145.000000,6,1,0,114749.000000,65961.000000,0.000000,33076.000000,5,0,0,0.000000,0.000000,0.000000,27816.000000
8,319313.000000,368754.750000,0.000000,1,9,1,0,512552.000000,361215.000000,0.000000,25742.000000,8,1,0,352854.000000,319655.000000,0.000000,56392.000000,0,0,0,0.000000,0.000000,0.000000,21644.000000,3,1,0,405799.000000,250814.000000,0.000000,16494.000000,5,1,0,301706.000000,210531.000000,0.000000,22421.000000,10,1,0,222256.000000,177965.000000,0.000000,39610.000000,7,1,0,294455.000000,141690.000000,0.000000,49954.000000,9,1,0,247875.000000,109124.000000,0.000000,35573.000000,5,1,0,159964.000000,68841.000000,0.000000,26461.000000,10,1,0,72322.000000,27281.000000,0.000000,25022.000000
9,365662.000000,368411.111111,0.000000,1,3,1,0,521699.000000,361215.000000,0.000000,48282.000000,5,1,0,411600.000000,319655.000000,0.000000,29705.000000,0,0,0,0.000000,0.000000,0.000000,49539.000000,1,1,0,286701.000000,250814.000000,0.000000,21094.000000,5,1,0,300292.000000,210531.000000,0.000000,40451.000000,1,1,0,214597.000000,177965.000000,0.000000,35523.000000,7,1,0,278444.000000,141690.000000,0.000000,55994.000000,9,1,0,224677.000000,109124.000000,0.000000,29576.000000,3,1,0,186716.000000,68841.000000,0.000000,26575.000000,6,1,0,73747.000000,27281.000000,0.000000,28923.000000
10,356431.000000,367213.100000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,44417.000000,1,1,0,357157.000000,319655.000000,0.000000,48805.000000,2,1,0,516483.000000,292374.000000,0.000000,35253.000000,1,1,0,286701.000000,250814.000000,0.000000,28035.000000,7,1,0,374168.000000,210531.000000,0.000000,50891.000000,10,1,0,209634.000000,171407.000000,0.000000,35336.000000,6,1,0,181917.000000,136225.000000,0.000000,30344.000000,3,1,0,255223.000000,105845.000000,0.000000,19930.000000,6,1,0,112802.000000,65562.000000,0.000000,35719.000000,2,0,0,0.000000,0.000000,0.000000,27701.000000
11,360175.000000,366573.272727,0.000000,1,5,1,0,453160.000000,361215.000000,0.000000,31802.000000,4,1,0,413953.000000,319655.000000,0.000000,42799.000000,3,1,0,449922.000000,292374.000000,0.000000,27658.000000,8,1,0,285779.000000,250814.000000,0.000000,49122.000000,9,1,0,361868.000000,210531.000000,0.000000,40851.000000,7,1,0,341602.000000,177965.000000,0.000000,39286.000000,4,1,0,209494.000000,141690.000000,0.000000,30150.000000,10,1,0,153415.000000,109124.000000,0.000000,24176.000000,4,1,0,144059.000000,68841.000000,0.000000,28124.000000,8,1,0,64895.000000,27281.000000,0.000000,46207.000000
12,273410.000000,358809.666667,0.000000,1,6,1,0,406907.000000,361215.000000,0.000000,29153.000000,7,1,0,479634.000000,319655.000000,0.000000,25678.000000,4,1,0,383272.000000,292374.000000,0.000000,23159.000000,10,1,0,295105.000000,250814.000000,0.000000,29924.000000,5,1,0,297896.000000,210531.000000,0.000000,21767.000000,10,1,0,220607.000000,177965.000000,0.000000,27674.000000,3,1,0,302174.000000,141690.000000,0.000000,21038.000000,6,1,0,160234.000000,109124.000000,0.000000,38823.000000,3,1,0,230269.000000,68841.000000,0.000000,32080.000000,8,1,0,62246.000000,27281.000000,0.000000,24114.000000
13,334911.000000,356971.307692,0.000000,1,0,0,0,0.000000,0.000000,0.000000,45115.000000,6,1,0,365347.000000,319655.000000,0.000000,39823.000000,5,1,0,380939.000000,292374.000000,0.000000,25224.000000,0,0,0,0.000000,0.000000,0.000000,32645.000000,5,1,0,298756.000000,210531.000000,0.000000,40306.000000,3,1,0,324641.000000,177965.000000,0.000000,38326.000000,2,1,0,368198.000000,135930.000000,0.000000,26916.000000,6,1,0,150976.000000,105284.000000,0.000000,29056.000000,0,0,0,0.000000,0.000000,0.000000,29689.000000,4,1,0,121907.000000,26321.000000,0.000000,27811.000000
14,339695.000000,355737.285714,0.000000,1,10,1,0,403857.000000,361215.000000,0.000000,18196.000000,5,1,0,407868.000000,319655.000000,0.000000,19434.000000,0,0,0,0.000000,0.000000,0.000000,38559.000000,10,1,0,291658.000000,250814.000000,0.000000,49312.000000,0,0,0,0.000000,0.000000,0.000000,29795.000000,4,1,0,268173.000000,177965.000000,0.000000,28457.000000,10,1,0,183433.000000,141690.000000,0.000000,19003.000000,2,1,0,350381.000000,109124.000000,0.000000,41829.000000,0,0,0,0.000000,0.000000,0.000000,50109.000000,0,0,0,0.000000,0.000000,0.000000,45001.000000
15,313445.000000,352917.800000,0.000000,1,5,1,0,453160.000000,361215.000000,0.000000,34775.000000,6,1,0,361825.000000,319655.000000,0.000000,22621.000000,1,1,0,327516.000000,292374.000000,0.000000,44880.000000,0,0,0,0.000000,0.000000,0.000000,27786.000000,3,1,0,368452.000000,210531.000000,0.000000,41940.000000,2,1,0,398213.000000,177965.000000,0.000000,30573.000000,6,1,0,180196.000000,141690.000000,0.000000,42025.000000,2,1,0,326896.000000,109124.000000,0.000000,25007.000000,6,1,0,110095.000000,68841.000000,0.000000,21059.000000,10,1,0,68125.000000,27281.000000,0.000000,22779.000000
16,308741.000000,350156.750000,0.000000,1,3,1,0,521699.000000,361215.000000,0.000000,42479.000000,6,1,0,364573.000000,319655.000000,0.000000,32346.000000,1,1,0,329006.000000,292374.000000,0.000000,32452.000000,0,0,0,0.000000,0.000000,0.000000,27347.000000,1,1,0,248903.000000,210531.000000,0.000000,32719.000000,8,1,0,212930.000000,177965.000000,0.000000,27816.000000,2,1,0,373399.000000,141690.000000,0.000000,38667.000000,10,1,0,149069.000000,109124.000000,0.000000,33111.000000,6,1,0,117629.000000,68841.000000,0.000000,28351.000000,0,0,0,0.000000,0.000000,0.000000,13453.000000
17,381870.000000,352022.235294,0.000000,1,0,0,0,0.000000,0.000000,0.000000,33354.000000,1,1,0,357157.000000,319655.000000,0.000000,33992.000000,8,1,0,329105.000000,292374.000000,0.000000,57154.000000,0,0,0,0.000000,0.000000,0.000000,34941.000000,6,1,0,255449.000000,210531.000000,0.000000,44134.000000,5,1,0,266634.000000,177965.000000,0.000000,16257.000000,7,1,0,266296.000000,141690.000000,0.000000,48946.000000,0,0,0,0.000000,0.000000,0.000000,27676.000000,1,1,0,106343.000000,68841.000000,0.000000,36361.000000,9,1,0,142658.000000,27281.000000,0.000000,49055.000000
18,487991.000000,359576.055556,0.000000,1,8,1,0,396180.000000,361215.000000,0.000000,43479.000000,0,0,0,0.000000,0.000000,0.000000,27994.000000,3,1,0,442709.000000,292374.000000,0.000000,21227.000000,10,1,0,289860.000000,250814.000000,0.000000,36112.000000,8,1,0,248145.000000,210531.000000,0.000000,21100.000000,1,1,0,213107.000000,177965.000000,0.000000,47840.000000,0,0,0,0.000000,0.000000,0.000000,36420.000000,6,1,0,146760.000000,107204.000000,0.000000,29275.000000,3,1,0,221211.000000,65961.000000,0.000000,20449.000000,7,1,1,186871.000000,26321.000000,163167.000000,40928.000000
19,334606.000000,358261.842105,0.000000,1,3,1,0,521699.000000,361215.000000,0.000000,28430.000000,1,1,0,358027.000000,319655.000000,0.000000,32671.000000,9,1,0,441094.000000,292374.000000,0.000000,45520.000000,10,1,0,292557.000000,250814.000000,0.000000,28427.000000,4,1,0,291573.000000,210531.000000,0.000000,49390.000000,3,1,0,318587.000000,177965.000000,0.000000,14629.000000,4,1,0,227660.000000,141690.000000,0.000000,32572.000000,1,1,0,148366.000000,109124.000000,0.000000,37923.000000,9,1,0,207874.000000,68841.000000,0.000000,18495.000000,1,1,0,66523.000000,27281.000000,0.000000,46549.000000
20,373179.000000,359007.700000,0.000000,1,7,1,0,524382.000000,361215.000000,0.000000,51552.000000,2,1,0,560661.000000,319655.000000,0.000000,35206.000000,0,0,0,0.000000,0.000000,0.000000,24384.000000,4,1,0,339832.000000,250814.000000,0.000000,48796.000000,7,1,0,376886.000000,210531.000000,0.000000,62974.000000,2,1,0,391202.000000,176212.000000,0.000000,52311.000000,2,0,0,0.000000,0.000000,0.000000,13568.000000,4,1,0,178318.000000,106244.000000,0.000000,24997.000000,0,0,0,0.000000,0.000000,0.000000,20141.000000,10,1,0,66283.000000,26321.000000,0.000000,39250.000000
21,318144.000000,357061.809524,0.000000,1,9,1,0,512552.000000,361215.000000,0.000000,30797.000000,9,1,0,468429.000000,319655.000000,0.000000,19116.000000,2,1,0,529262.000000,292374.000000,0.000000,37884.000000,2,1,0,478828.000000,250814.000000,0.000000,28789.000000,8,1,0,248145.000000,210531.000000,0.000000,37680.000000,2,1,0,395602.000000,177005.000000,0.000000,28253.000000,7,1,0,293601.000000,141690.000000,0.000000,25742.000000,2,1,0,340923.000000,109124.000000,0.000000,50016.000000,10,1,0,114632.000000,68841.000000,0.000000,18516.000000,2,1,0,247915.000000,27281.000000,0.000000,41351.000000
22,294317.000000,354209.772727,0.000000,1,7,1,0,524382.000000,361215.000000,0.000000,18105.000000,1,1,0,357157.000000,319655.000000,0.000000,17729.000000,3,1,0,442979.000000,292374.000000,0.000000,15647.000000,9,1,0,397136.000000,250814.000000,0.000000,32601.000000,4,1,0,310531.000000,210531.000000,0.000000,26707.000000,10,1,0,222256.000000,177965.000000,0.000000,39341.000000,9,1,0,293027.000000,141690.000000,0.000000,31170.000000,6,1,0,158686.000000,109124.000000,0.000000,33213.000000,0,0,0,0.000000,0.000000,0.000000,27444.000000,4,1,0,125571.000000,27281.000000,0.000000,52360.000000
23,377901.000000,355239.826087,0.000000,1,2,1,0,607556.000000,361215.000000,0.000000,46549.000000,6,1,0,365347.000000,319655.000000,0.000000,33702.000000,6,1,0,338066.000000,292374.000000,0.000000,34045.000000,3,1,0,405644.000000,250814.000000,0.000000,48695.000000,2,1,0,436862.000000,210531.000000,0.000000,17923.000000,4,1,0,273791.000000,177965.000000,0.000000,41801.000000,3,1,0,291302.000000,141690.000000,0.000000,21009.000000,8,1,0,144089.000000,109124.000000,0.000000,68706.000000,0,0,0,0.000000,0.000000,0.000000,35135.000000,6,1,0,76069.000000,27281.000000,0.000000,30336.000000
24,365415.000000,355663.791667,0.000000,1,1,1,0,398717.000000,361215.000000,0.000000,13983.000000,6,1,0,366121.000000,319655.000000,0.000000,39949.000000,9,1,0,443711.000000,292374.000000,0.000000,51133.000000,2,1,0,495553.000000,250814.000000,0.000000,31874.000000,9,1,0,365267.000000,210531.000000,0.000000,42192.000000,9,1,0,325045.000000,177965.000000,0.000000,45123.000000,6,1,0,188930.000000,141690.000000,0.000000,32877.000000,4,1,0,204976.000000,104976.000000,0.000000,42498.000000,0,0,0,0.000000,0.000000,0.000000,35617.000000,6,1,0,75032.000000,26244.000000,0.000000,30169.000000
25,314167.000000,354003.920000,0.000000,1,4,1,0,456801.000000,361215.000000,0.000000,35569.000000,5,1,0,413148.000000,319655.000000,0.000000,29361.000000,1,1,0,331616.000000,292374.000000,0.000000,47706.000000,1,1,0,290926.000000,250814.000000,0.000000,31859.000000,6,1,0,260093.000000,210531.000000,0.000000,16813.000000,0,0,0,0.000000,0.000000,0.000000,28662.000000,2,1,0,355472.000000,141690.000000,0.000000,58312.000000,0,0,0,0.000000,0.000000,0.000000,19329.000000,2,1,0,261773.000000,68841.000000,0.000000,15783.000000,2,1,0,219993.000000,27281.000000,0.000000,30773.000000
26,354649.000000,354028.730769,0.000000,1,6,1,0,406907.000000,361215.000000,0.000000,15986.000000,0,0,0,0.000000,0.000000,0.000000,41974.000000,0,0,0,0.000000,0.000000,0.000000,17344.000000,1,1,0,290056.000000,250814.000000,0.000000,24516.000000,6,1,0,258545.000000,210531.000000,0.000000,24130.000000,0,0,0,0.000000,0.000000,0.000000,53362.000000,0,0,0,0.000000,0.000000,0.000000,38444.000000,7,1,0,267628.000000,109124.000000,0.000000,62083.000000,9,1,0,219380.000000,68841.000000,0.000000,33298.000000,4,1,0,121755.000000,27281.000000,0.000000,43512.000000
27,361252.000000,354296.259259,0.000000,1,0,0,0,0.000000,0.000000,0.000000,21290.000000,8,1,0,355503.000000,319655.000000,0.000000,22296.000000,1,1,0,328261.000000,292374.000000,0.000000,38817.000000,0,0,0,0.000000,0.000000,0.000000,38683.000000,4,1,0,303541.000000,210531.000000,0.000000,30045.000000,10,1,0,214766.000000,177965.000000,0.000000,46314.000000,0,0,0,0.000000,0.000000,0.000000,53240.000000,8,1,0,144089.000000,109124.000000,0.000000,43947.000000,8,1,0,105572.000000,68841.000000,0.000000,45628.000000,0,0,0,0.000000,0.000000,0.000000,20992.000000
28,336471.000000,353659.642857,0.000000,1,2,1,0,607556.000000,361215.000000,0.000000,44514.000000,5,1,0,402260.000000,319655.000000,0.000000,38370.000000,4,1,0,376012.000000,292374.000000,0.000000,36745.000000,6,1,0,294640.000000,250814.000000,0.000000,29506.000000,2,1,0,452926.000000,210531.000000,0.000000,30396.000000,8,1,0,212930.000000,177965.000000,0.000000,19557.000000,0,0,0,0.000000,0.000000,0.000000,27796.000000,4,1,0,196206.000000,109124.000000,0.000000,32260.000000,9,1,0,208350.000000,68841.000000,0.000000,31606.000000,5,1,0,98916.000000,27281.000000,0.000000,45721.000000
