Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,631982.000000,631982.000000,0.000000,1,1,1,1,398717.000000,361215.000000,37502.000000,33464.000000,9,1,1,460432.000000,309095.000000,151337.000000,22760.000000,0,0,0,0.000000,0.000000,0.000000,24084.000000,9,1,1,338464.000000,245534.000000,110937.000000,34862.000000,7,0,0,0.000000,0.000000,0.000000,35639.000000,4,1,1,182682.000000,143999.000000,71818.000000,30724.000000,0,0,0,0.000000,0.000000,0.000000,14056.000000,1,0,0,0.000000,0.000000,0.000000,16902.000000,9,0,0,0.000000,0.000000,0.000000,32645.000000,7,0,0,0.000000,0.000000,0.000000,15252.000000
2,558734.000000,595358.000000,0.000000,1,1,1,1,398717.000000,361215.000000,37502.000000,29573.000000,6,1,1,342993.000000,319655.000000,28618.000000,34820.000000,7,1,1,442433.000000,289734.000000,163167.000000,26501.000000,0,0,0,0.000000,0.000000,0.000000,25973.000000,1,1,1,212954.000000,201138.000000,29852.000000,32044.000000,4,0,0,0.000000,0.000000,0.000000,20093.000000,4,0,0,0.000000,0.000000,0.000000,28617.000000,6,0,0,0.000000,0.000000,0.000000,25104.000000,0,0,0,0.000000,0.000000,0.000000,30215.000000,8,1,1,46611.000000,16686.000000,29925.000000,16730.000000
3,479805.000000,556840.333333,0.000000,1,5,1,1,453160.000000,361215.000000,91945.000000,28835.000000,5,1,1,341851.000000,319655.000000,58495.000000,33931.000000,0,0,0,0.000000,0.000000,0.000000,25818.000000,0,0,0,0.000000,0.000000,0.000000,33187.000000,3,0,0,0.000000,0.000000,0.000000,54361.000000,6,1,0,155078.000000,156461.000000,0.000000,34720.000000,0,0,0,0.000000,0.000000,0.000000,20309.000000,7,0,0,0.000000,0.000000,0.000000,46799.000000,0,0,0,0.000000,0.000000,0.000000,41942.000000,0,0,0,0.000000,0.000000,0.000000,9463.000000
4,436444.000000,526741.250000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,45008.000000,0,0,0,0.000000,0.000000,0.000000,40269.000000,0,0,0,0.000000,0.000000,0.000000,24369.000000,8,1,1,281493.000000,250814.000000,30679.000000,30471.000000,0,0,0,0.000000,0.000000,0.000000,23906.000000,1,1,1,204120.000000,168233.000000,35887.000000,43627.000000,0,0,0,0.000000,0.000000,0.000000,28603.000000,0,0,0,0.000000,0.000000,0.000000,38397.000000,0,0,0,0.000000,0.000000,0.000000,52073.000000,7,0,0,0.000000,0.000000,0.000000,43155.000000
5,539107.000000,529214.400000,0.000000,1,9,1,1,512552.000000,361215.000000,151337.000000,28190.000000,4,1,1,386687.000000,319655.000000,94136.000000,27275.000000,1,1,1,276427.000000,262500.000000,29767.000000,43819.000000,5,0,0,0.000000,0.000000,0.000000,14135.000000,7,0,0,0.000000,0.000000,0.000000,47959.000000,10,0,0,0.000000,0.000000,0.000000,39094.000000,4,0,0,0.000000,0.000000,0.000000,7519.000000,3,0,0,0.000000,0.000000,0.000000,17884.000000,0,0,0,0.000000,0.000000,0.000000,24077.000000,7,0,0,0.000000,0.000000,0.000000,13915.000000
6,601340.000000,541235.333333,0.000000,1,4,1,1,456801.000000,361215.000000,95586.000000,42828.000000,9,1,1,428271.000000,317015.000000,142517.000000,25039.000000,1,1,1,268798.000000,260066.000000,29852.000000,34623.000000,10,1,1,216943.000000,198972.000000,28439.000000,33673.000000,8,0,0,0.000000,0.000000,0.000000,33592.000000,8,0,0,0.000000,0.000000,0.000000,26313.000000,10,0,0,0.000000,0.000000,0.000000,29164.000000,2,0,0,0.000000,0.000000,0.000000,30868.000000,9,0,0,0.000000,0.000000,0.000000,29121.000000,7,0,0,0.000000,0.000000,0.000000,19725.000000
7,592602.000000,548573.428571,0.000000,1,2,1,1,607556.000000,361215.000000,246341.000000,53856.000000,0,0,0,0.000000,0.000000,0.000000,20168.000000,0,0,0,0.000000,0.000000,0.000000,41732.000000,1,1,1,241327.000000,229255.000000,30552.000000,47895.000000,2,0,0,0.000000,0.000000,0.000000,33406.000000,2,0,0,0.000000,0.000000,0.000000,35105.000000,8,0,0,0.000000,0.000000,0.000000,25190.000000,2,0,0,0.000000,0.000000,0.000000,16901.000000,3,0,0,0.000000,0.000000,0.000000,26158.000000,6,0,0,0.000000,0.000000,0.000000,15298.000000
8,582141.000000,552769.375000,0.000000,1,7,1,1,524382.000000,361215.000000,163167.000000,23316.000000,1,1,1,358027.000000,319655.000000,38372.000000,33447.000000,4,1,1,333022.000000,287140.000000,67468.000000,18074.000000,4,1,1,237209.000000,225964.000000,69178.000000,17702.000000,10,1,1,162531.000000,140740.000000,32259.000000,14509.000000,1,0,0,0.000000,0.000000,0.000000,30484.000000,3,0,0,0.000000,0.000000,0.000000,15641.000000,10,0,0,0.000000,0.000000,0.000000,9482.000000,7,0,0,0.000000,0.000000,0.000000,28574.000000,4,0,0,0.000000,0.000000,0.000000,20468.000000
9,484541.000000,545188.444444,0.000000,1,9,1,1,512552.000000,361215.000000,151337.000000,49953.000000,1,1,1,354693.000000,317191.000000,37502.000000,30592.000000,8,1,1,294626.000000,284982.000000,24428.000000,29331.000000,0,0,0,0.000000,0.000000,0.000000,16896.000000,7,0,0,0.000000,0.000000,0.000000,11185.000000,5,0,0,0.000000,0.000000,0.000000,38899.000000,4,0,0,0.000000,0.000000,0.000000,29779.000000,3,0,0,0.000000,0.000000,0.000000,10347.000000,0,0,0,0.000000,0.000000,0.000000,21614.000000,0,0,0,0.000000,0.000000,0.000000,32678.000000
10,417080.000000,532377.600000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,38403.000000,4,1,1,413889.000000,319655.000000,94234.000000,43028.000000,1,1,1,291023.000000,287843.000000,30722.000000,20008.000000,0,0,0,0.000000,0.000000,0.000000,31268.000000,4,0,0,0.000000,0.000000,0.000000,22116.000000,1,0,0,0.000000,0.000000,0.000000,34026.000000,1,0,0,0.000000,0.000000,0.000000,30426.000000,0,0,0,0.000000,0.000000,0.000000,28123.000000,7,0,0,0.000000,0.000000,0.000000,15621.000000,3,0,0,0.000000,0.000000,0.000000,29105.000000
