Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,661318.000000,661318.000000,0.000000,1,1,1,0,647166.945000,651007.153000,0.000000,89046.000000,1,1,0,560581.460000,562959.603000,0.000000,131413.000000,6,1,0,411090.786000,433481.167000,0.000000,85692.000000,5,0,0,0.000000,0.000000,0.000000,78997.000000,7,0,0,0.000000,0.000000,0.000000,65439.000000,5,0,0,0.000000,0.000000,0.000000,115829.000000,4,0,0,0.000000,0.000000,0.000000,11256.000000,2,0,0,0.000000,0.000000,0.000000,24442.000000,10,0,0,0.000000,0.000000,0.000000,15896.000000,10,0,0,0.000000,0.000000,0.000000,43308.000000
2,644405.000000,652861.500000,1.000000,1,6,1,0,639341.056000,651007.153000,0.000000,84609.000000,2,1,0,526592.113000,566762.893000,0.000000,142412.000000,0,0,0,0.000000,0.000000,0.000000,68885.000000,0,0,0,0.000000,0.000000,0.000000,46678.000000,4,0,0,0.000000,0.000000,0.000000,90396.000000,0,0,0,0.000000,0.000000,0.000000,70399.000000,10,0,0,0.000000,0.000000,0.000000,42440.000000,7,0,0,0.000000,0.000000,0.000000,47675.000000,0,0,0,0.000000,0.000000,0.000000,20773.000000,1,0,0,0.000000,0.000000,0.000000,30138.000000
3,612490.000000,639404.333333,0.000000,1,9,1,0,632779.917000,651007.153000,0.000000,115434.000000,1,1,0,533069.265000,537216.974000,0.000000,94866.000000,1,1,0,436762.742000,440576.061000,0.000000,89844.000000,10,0,0,0.000000,0.000000,0.000000,117019.000000,2,0,0,0.000000,0.000000,0.000000,37153.000000,4,0,0,0.000000,0.000000,0.000000,48872.000000,0,0,0,0.000000,0.000000,0.000000,36762.000000,2,0,0,0.000000,0.000000,0.000000,51124.000000,0,0,0,0.000000,0.000000,0.000000,5354.000000,0,0,0,0.000000,0.000000,0.000000,16062.000000
4,673149.000000,647840.500000,0.000000,1,6,1,0,639341.056000,651007.153000,0.000000,74494.000000,5,1,0,550363.521000,574574.653000,0.000000,83891.000000,0,0,0,0.000000,0.000000,0.000000,93093.000000,2,0,0,0.000000,0.000000,0.000000,112065.000000,2,0,0,0.000000,0.000000,0.000000,84244.000000,3,0,0,0.000000,0.000000,0.000000,61444.000000,0,0,0,0.000000,0.000000,0.000000,50873.000000,1,0,0,0.000000,0.000000,0.000000,35960.000000,10,0,0,0.000000,0.000000,0.000000,69053.000000,0,0,0,0.000000,0.000000,0.000000,8032.000000
5,645118.000000,647296.000000,1.000000,1,4,1,0,640170.030000,651007.153000,0.000000,95119.000000,4,1,0,543912.766000,556216.797000,0.000000,88066.000000,5,1,0,441486.027000,469070.560000,0.000000,73662.000000,7,1,0,379373.604000,396038.399000,0.000000,62496.000000,4,1,0,323131.564000,333185.089000,0.000000,63972.000000,0,0,0,0.000000,0.000000,0.000000,83742.000000,8,0,0,0.000000,0.000000,0.000000,69909.000000,10,0,0,0.000000,0.000000,0.000000,58370.000000,3,0,0,0.000000,0.000000,0.000000,25055.000000,10,0,0,0.000000,0.000000,0.000000,24727.000000
6,642069.000000,646424.833333,1.000000,1,10,1,0,617477.216000,651007.153000,0.000000,73351.000000,10,1,0,543612.729000,573859.062000,0.000000,113831.000000,3,1,0,442159.164000,465531.467000,0.000000,64909.000000,8,1,0,387475.845000,394781.756000,0.000000,43407.000000,2,1,0,300960.442000,341770.518000,0.000000,106891.000000,8,1,0,238345.491000,239122.322000,0.000000,53169.000000,9,0,0,0.000000,0.000000,0.000000,51977.000000,3,0,0,0.000000,0.000000,0.000000,70869.000000,6,0,0,0.000000,0.000000,0.000000,54020.000000,0,0,0,0.000000,0.000000,0.000000,9645.000000
7,648459.000000,646715.428571,1.000000,1,0,0,0,0.000000,0.000000,0.000000,165082.000000,2,1,0,432224.556000,494106.372000,0.000000,93484.000000,0,0,0,0.000000,0.000000,0.000000,84098.000000,1,1,1,316201.812000,315345.586000,19879.000000,52289.000000,0,0,0,0.000000,0.000000,0.000000,46459.000000,0,0,0,0.000000,0.000000,0.000000,36605.000000,8,0,0,0.000000,0.000000,0.000000,45365.000000,0,0,0,0.000000,0.000000,0.000000,12014.000000,8,0,0,0.000000,0.000000,0.000000,85321.000000,1,0,0,0.000000,0.000000,0.000000,7863.000000
8,663176.000000,648773.000000,0.000000,1,2,1,0,609949.289000,651007.153000,0.000000,96952.000000,3,1,0,534904.693000,552401.394000,0.000000,78718.000000,10,1,0,441221.218000,472278.283000,0.000000,154279.000000,9,0,0,0.000000,0.000000,0.000000,49555.000000,5,0,0,0.000000,0.000000,0.000000,72014.000000,9,0,0,0.000000,0.000000,0.000000,96101.000000,10,0,0,0.000000,0.000000,0.000000,52171.000000,2,0,0,0.000000,0.000000,0.000000,47664.000000,4,0,0,0.000000,0.000000,0.000000,5422.000000,0,0,0,0.000000,0.000000,0.000000,10300.000000
9,630378.000000,646729.111111,1.000000,1,8,1,0,643323.467000,651007.153000,0.000000,87119.000000,3,1,0,545545.763000,563197.768000,0.000000,108121.000000,9,1,0,433310.263000,450759.365000,0.000000,78281.000000,8,1,0,366535.589000,369941.978000,0.000000,70250.000000,8,1,0,287705.207000,300072.808000,0.000000,71248.000000,6,0,0,0.000000,0.000000,0.000000,62605.000000,4,0,0,0.000000,0.000000,0.000000,80184.000000,3,0,0,0.000000,0.000000,0.000000,26570.000000,6,0,0,0.000000,0.000000,0.000000,8467.000000,3,0,0,0.000000,0.000000,0.000000,37533.000000
10,620898.000000,644146.000000,1.000000,1,9,1,0,632779.917000,651007.153000,0.000000,111675.000000,2,1,0,497535.742000,539630.077000,0.000000,56982.000000,10,1,0,448081.758000,478420.950000,0.000000,64497.000000,7,1,0,402649.991000,410058.222000,0.000000,86359.000000,0,0,0,0.000000,0.000000,0.000000,47532.000000,5,0,0,0.000000,0.000000,0.000000,63377.000000,0,0,0,0.000000,0.000000,0.000000,63031.000000,9,0,0,0.000000,0.000000,0.000000,77770.000000,9,0,0,0.000000,0.000000,0.000000,31792.000000,5,0,0,0.000000,0.000000,0.000000,17883.000000
