Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,688128.000000,688128.000000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,93042.000000,3,1,0,559451.000000,598758.000000,0.000000,92559.000000,2,1,0,458707.000000,506199.000000,0.000000,114065.000000,3,1,0,351781.000000,392134.000000,0.000000,97219.000000,0,0,0,0.000000,0.000000,0.000000,97429.000000,0,0,0,0.000000,0.000000,0.000000,73312.000000,5,0,0,0.000000,0.000000,0.000000,71550.000000,0,0,0,0.000000,0.000000,0.000000,27157.000000,0,0,0,0.000000,0.000000,0.000000,15906.000000,0,0,0,0.000000,0.000000,0.000000,5889.000000
2,687792.000000,687960.000000,0.000000,1,5,1,0,661828.000000,691800.000000,0.000000,74112.000000,5,1,0,587716.000000,617688.000000,0.000000,100949.000000,2,1,0,469247.000000,516739.000000,0.000000,94972.000000,9,1,0,387630.000000,421767.000000,0.000000,113107.000000,1,1,0,296378.000000,308660.000000,0.000000,93895.000000,0,0,0,0.000000,0.000000,0.000000,76634.000000,8,0,0,0.000000,0.000000,0.000000,58569.000000,4,0,0,0.000000,0.000000,0.000000,49722.000000,8,0,0,0.000000,0.000000,0.000000,21824.000000,1,0,0,0.000000,0.000000,0.000000,4008.000000
3,686766.000000,687562.000000,0.000000,1,2,1,0,644308.000000,691800.000000,0.000000,86174.000000,0,0,0,0.000000,0.000000,0.000000,104661.000000,8,1,0,493772.000000,500965.000000,0.000000,88311.000000,4,1,0,394415.000000,412654.000000,0.000000,86096.000000,1,1,0,315668.000000,326558.000000,0.000000,106019.000000,6,1,0,200584.000000,220539.000000,0.000000,73894.000000,4,0,0,0.000000,0.000000,0.000000,79433.000000,4,0,0,0.000000,0.000000,0.000000,29785.000000,10,0,0,0.000000,0.000000,0.000000,20556.000000,7,0,0,0.000000,0.000000,0.000000,11837.000000
4,691800.000000,688621.500000,0.000000,2,5,1,0,661828.000000,691800.000000,0.000000,103691.000000,6,1,0,576010.000000,588109.000000,0.000000,125677.000000,0,0,0,0.000000,0.000000,0.000000,91574.000000,9,1,0,336721.000000,370858.000000,0.000000,88989.000000,7,1,0,260544.000000,281869.000000,0.000000,109608.000000,0,0,0,0.000000,0.000000,0.000000,58262.000000,2,0,0,0.000000,0.000000,0.000000,60647.000000,10,0,0,0.000000,0.000000,0.000000,43743.000000,2,0,0,0.000000,0.000000,0.000000,9609.000000,0,0,0,0.000000,0.000000,0.000000,0.000000
5,691800.000000,689257.200000,0.000000,2,4,1,0,673561.000000,691800.000000,0.000000,100206.000000,3,1,0,552287.000000,591594.000000,0.000000,98904.000000,4,1,0,474451.000000,492690.000000,0.000000,105353.000000,6,1,0,375238.000000,387337.000000,0.000000,122104.000000,0,0,0,0.000000,0.000000,0.000000,103331.000000,10,0,0,0.000000,0.000000,0.000000,95830.000000,9,0,0,0.000000,0.000000,0.000000,28497.000000,0,0,0,0.000000,0.000000,0.000000,26663.000000,9,0,0,0.000000,0.000000,0.000000,10912.000000,0,0,0,0.000000,0.000000,0.000000,0.000000
6,689099.000000,689230.833333,0.000000,1,6,1,0,679701.000000,691800.000000,0.000000,108802.000000,2,1,0,535506.000000,582998.000000,0.000000,74444.000000,0,0,0,0.000000,0.000000,0.000000,109111.000000,5,1,0,368625.000000,399443.000000,0.000000,87305.000000,4,1,0,292825.000000,312138.000000,0.000000,78470.000000,0,0,0,0.000000,0.000000,0.000000,81705.000000,9,0,0,0.000000,0.000000,0.000000,63242.000000,1,0,0,0.000000,0.000000,0.000000,44662.000000,9,0,0,0.000000,0.000000,0.000000,30252.000000,5,0,0,0.000000,0.000000,0.000000,11106.000000
7,671664.000000,686721.285714,0.000000,1,7,1,0,671921.000000,691800.000000,0.000000,92577.000000,2,1,0,551731.000000,599223.000000,0.000000,89833.000000,3,1,0,470083.000000,509390.000000,0.000000,98156.000000,5,1,0,381262.000000,411234.000000,0.000000,99766.000000,9,1,0,268800.000000,311468.000000,0.000000,89586.000000,1,1,0,207744.000000,221882.000000,0.000000,79520.000000,8,0,0,0.000000,0.000000,0.000000,46735.000000,8,0,0,0.000000,0.000000,0.000000,31713.000000,8,0,0,0.000000,0.000000,0.000000,16856.000000,2,0,0,0.000000,0.000000,0.000000,26922.000000
8,690771.000000,687227.500000,0.000000,1,8,1,0,684607.000000,691800.000000,0.000000,88733.000000,3,1,0,563760.000000,603067.000000,0.000000,100987.000000,1,1,0,491654.000000,502080.000000,0.000000,104433.000000,3,1,0,358340.000000,397647.000000,0.000000,95843.000000,2,1,0,244348.000000,301804.000000,0.000000,88287.000000,0,0,0,0.000000,0.000000,0.000000,114329.000000,2,0,0,0.000000,0.000000,0.000000,50679.000000,3,0,0,0.000000,0.000000,0.000000,33793.000000,4,0,0,0.000000,0.000000,0.000000,13687.000000,6,0,0,0.000000,0.000000,0.000000,0.000000
9,673970.000000,685754.444444,0.000000,1,0,0,0,0.000000,0.000000,0.000000,96929.000000,10,1,0,562896.000000,594871.000000,0.000000,116129.000000,5,1,0,448770.000000,478742.000000,0.000000,75281.000000,7,1,0,382136.000000,403461.000000,0.000000,74073.000000,3,1,0,287674.000000,329388.000000,0.000000,95097.000000,6,1,0,215952.000000,234291.000000,0.000000,80840.000000,9,0,0,0.000000,0.000000,0.000000,74031.000000,6,0,0,0.000000,0.000000,0.000000,43269.000000,9,0,0,0.000000,0.000000,0.000000,10559.000000,5,0,0,0.000000,0.000000,0.000000,7762.000000
10,691800.000000,686359.000000,0.000000,1,1,1,0,681374.000000,691800.000000,0.000000,85607.000000,4,1,0,587954.000000,606193.000000,0.000000,80161.000000,6,1,0,513933.000000,526032.000000,0.000000,88520.000000,10,1,0,401101.000000,437512.000000,0.000000,104112.000000,2,1,0,271195.000000,333400.000000,0.000000,75165.000000,8,1,0,246844.000000,258235.000000,0.000000,104109.000000,1,0,0,0.000000,0.000000,0.000000,40541.000000,2,0,0,0.000000,0.000000,0.000000,37382.000000,6,0,0,0.000000,0.000000,0.000000,42353.000000,2,0,0,0.000000,0.000000,0.000000,33850.000000
